County,Lat,Long
Baldwin,30.72774991,-87.72207058
Mobile,30.78472347,-88.20842409
Geneva,31.09389027,-85.83572839
Escambia,31.1256789,-87.15918694
Houston,31.15197924,-85.29939599
Covington,31.2477854,-86.45050893
Coffee,31.39932826,-85.98901039
Washington,31.4092794,-88.20689944
Dale,31.43037123,-85.61095742
Conecuh,31.43401703,-86.99320044
Henry,31.51148016,-85.24267944
Monroe,31.56729412,-87.36995001
Clarke,31.68099859,-87.83548597
Crenshaw,31.72941803,-86.31593104
Butler,31.75300095,-86.68057478
Pike,31.80396383,-85.9408295
Barbour,31.868263,-85.3871286
Wilcox,31.98773215,-87.30891118
Choctaw,32.02227341,-88.2656443
Bullock,32.10030533,-85.71265535
Lowndes,32.1597283,-86.65158371
Montgomery,32.2206831,-86.20969272
Marengo,32.24767634,-87.78796182
Russell,32.28725256,-85.18415324
Dallas,32.32688101,-87.1086671
Macon,32.38759944,-85.69267724
Autauga,32.53952745,-86.64408227
Sumter,32.59117397,-88.19916205
Elmore,32.59785413,-86.14415284
Lee,32.60154883,-85.35132246
Perry,32.64048341,-87.29770589
Hale,32.76039258,-87.63284988
Chilton,32.85044126,-86.7173256
Greene,32.85504247,-87.95684022
Tallapoosa,32.86698258,-85.79833053
Chambers,32.91360079,-85.39072749
Coosa,32.93690146,-86.24847739
Bibb,32.99642064,-87.1251146
Shelby,33.26879845,-86.66232561
Clay,33.26984193,-85.85836077
Pickens,33.28094866,-88.08818103
Tuscaloosa,33.28726072,-87.52556818
Randolph,33.29526734,-85.45708831
Talladega,33.37823223,-86.16886178
Jefferson,33.55554728,-86.895063
Cleburne,33.67679204,-85.52005899
St. Clair,33.71902176,-86.31029372
Fayette,33.72076938,-87.73886638
Calhoun,33.77483727,-85.82630386
Lamar,33.77995024,-88.09668032
Walker,33.80270512,-87.30027177
Blount,33.98210918,-86.56790593
Etowah,34.04567266,-86.04051873
Cullman,34.13020303,-86.86888037
Marion,34.13697363,-87.88704173
Winston,34.15030532,-87.37325922
Cherokee,34.17805983,-85.60638968
Marshall,34.36975964,-86.30486727
Franklin,34.44235334,-87.84289505
Morgan,34.45500589,-86.85475946
DeKalb,34.45946862,-85.80782906
Lawrence,34.52041498,-87.31069453
Colbert,34.69847452,-87.80168544
Madison,34.76327133,-86.55069633
Jackson,34.78144169,-85.99750489
Limestone,34.81185586,-86.98310072
Lauderdale,34.90171875,-87.65624729
Aleutians West,52.3233,-174.1596
Aleutians East,55.32222414,-161.9722021
Ketchikan Gateway,55.57445008,-130.975561
Prince of Wales-Hyder,55.76261984,-133.0511621
Wrangell,56.3202004,-132.0583731
Petersburg,57.13978948,-132.9540995
Sitka,57.24124555,-135.3206587
Kodiak Island,57.65529415,-153.7493579
Hoonah-Angoon,58.29307365,-135.6424424
Juneau,58.45031811,-134.200436
Lake and Peninsula,58.62403337,-156.2140589
Bristol Bay,58.74513976,-156.701064
Haines,59.09893571,-135.4679843
Skagway,59.56149996,-135.3337748
Dillingham,59.79603738,-158.2381942
Yakutat,59.8909808,-140.3601451
Kenai Peninsula,60.24429722,-151.5388884
Bethel,60.3886,-162.8905196
Bethel,60.90980451,-159.8561831
Anchorage,61.14998174,-149.1426986
Anchorage,61.16666,-149.9
Valdez-Cordova,61.47502768,-144.7126799
Wade Hampton,62.1542916,-163.3967883
Matanuska-Susitna,62.31305045,-149.5741743
Denali,63.67264044,-150.0076108
Southeast Fairbanks,63.87692095,-143.2127643
Fairbanks North Star,64.80726247,-146.5692662
Nome,64.90320724,-164.0353804
Yukon-Koyukuk,65.50815459,-151.3907387
Northwest Arctic,67.04919196,-159.7503946
North Slope,69.31479216,-153.4836093
American Samoa,-14.271,-170.132
Santa Cruz,31.52508998,-110.8479088
Cochise,31.87934684,-109.7516088
Pima,32.0971334,-111.7890033
Yuma,32.76895712,-113.9066674
Pinal,32.90525627,-111.3449483
Graham,32.93166885,-109.8882178
Greenlee,33.21498827,-109.2405279
Maricopa,33.34835867,-112.4918154
La Paz,33.72854224,-113.9810029
Gila,33.80190085,-110.8132779
Yavapai,34.59933926,-112.5538588
Apache,35.39465006,-109.4892383
Navajo,35.3997715,-110.3218983
Mohave,35.70471703,-113.7577902
Coconino,35.83883429,-111.7707178
Union,33.16887091,-92.59746952
Ashley,33.19153461,-91.7698471
Columbia,33.21230701,-93.22642793
Lafayette,33.24116713,-93.60677071
Chicot,33.26458973,-91.29539209
Miller,33.31403423,-93.89285258
Bradley,33.46755808,-92.15980837
Calhoun,33.55598792,-92.49974403
Ouachita,33.58839816,-92.87795984
Drew,33.59035001,-91.71777921
Nevada,33.66340119,-93.30632432
Little River,33.70375665,-94.23468591
Hempstead,33.73325583,-93.66935133
Desha,33.83011025,-91.25500948
Cleveland,33.89723187,-92.18537045
Lincoln,33.95317155,-91.74002806
Dallas,33.97042763,-92.65167437
Sevier,33.99780401,-94.2424869
Clark,34.04613432,-93.17484713
Howard,34.09007427,-93.9934871
Pike,34.16250414,-93.65789349
Jefferson,34.26767081,-91.92619839
Grant,34.29017991,-92.42320562
Arkansas,34.29145151,-91.37277296
Hot Spring,34.31709259,-92.95396325
Phillips,34.43268455,-90.84800154
Polk,34.48254879,-94.22728802
Montgomery,34.53704874,-93.65824478
Garland,34.57692074,-93.14921604
Saline,34.64916145,-92.67583224
Monroe,34.6815935,-91.20540287
Lonoke,34.75392199,-91.88742357
Pulaski,34.77054088,-92.31355101
Lee,34.78498904,-90.78383866
Prairie,34.83624419,-91.55162157
Scott,34.85588887,-94.0632176
Perry,34.9459153,-92.94372564
Yell,35.00292371,-93.41171338
St. Francis,35.02201976,-90.74828138
Faulkner,35.14719007,-92.33717519
Woodruff,35.18902527,-91.2439489
Sebastian,35.19605503,-94.27162713
Crittenden,35.21247318,-90.30839406
Logan,35.21413234,-93.71951016
White,35.25688493,-91.74908296
Conway,35.26205537,-92.70506566
Cross,35.29631396,-90.77185818
Pope,35.44871474,-93.03212219
Franklin,35.51202821,-93.89299569
Cleburne,35.53864922,-92.02640019
Johnson,35.56759135,-93.46036368
Poinsett,35.57433534,-90.66268713
Van Buren,35.58095779,-92.51295036
Crawford,35.58928601,-94.2446814
Jackson,35.59802983,-91.21494602
Independence,35.74242707,-91.57001641
Mississippi,35.76271485,-90.0519437
Craighead,35.83018283,-90.63235729
Stone,35.86251946,-92.15684085
Searcy,35.9109364,-92.69936482
Newton,35.91947491,-93.21612969
Washington,35.976844,-94.21800746
Madison,36.01038185,-93.72524943
Lawrence,36.04188196,-91.10867198
Izard,36.09604046,-91.90847954
Greene,36.1173546,-90.55832668
Sharp,36.16258158,-91.47819342
Marion,36.26844485,-92.68451899
Baxter,36.28784385,-92.33782872
Boone,36.3084504,-93.09374925
Benton,36.33644656,-94.25680817
Carroll,36.3403856,-93.54270261
Randolph,36.3415714,-91.02455531
Clay,36.36826212,-90.4148172
Fulton,36.38177105,-91.81729127
San Diego,33.03484597,-116.7365326
Imperial,33.0393082,-115.3669042
Orange,33.70147516,-117.7645998
Riverside,33.74314981,-115.9933578
Los Angeles,34.30828379,-118.2282411
Ventura,34.44465746,-119.0910613
Santa Barbara,34.65329488,-120.0188492
San Bernardino,34.84060306,-116.1774685
Kern,35.34329425,-118.7277796
San Luis Obispo,35.38822029,-120.4039028
Kings,36.07409056,-119.8159973
Monterey,36.21862405,-121.2413397
Tulare,36.22026558,-118.8020203
Inyo,36.51112084,-117.4111978
San Benito,36.60308176,-121.069975
Fresno,36.75733899,-119.6466953
Santa Cruz,37.05580291,-122.0066524
Merced,37.18922369,-120.7209035
Madera,37.21513971,-119.7665589
Santa Clara,37.23104908,-121.6970462
San Mateo,37.4228808,-122.3275546
Stanislaus,37.55862499,-120.9970722
Mariposa,37.57978556,-119.9073334
Alameda,37.64629437,-121.8929271
San Francisco,37.75215114,-122.4385672
Contra Costa,37.91923498,-121.9289527
San Joaquin,37.93433732,-121.2730061
Mono,37.93899289,-118.8872409
Tuolumne,38.02644018,-119.9525093
Marin,38.07122463,-122.7210631
Calaveras,38.20537103,-120.552913
Solano,38.26827353,-121.9357113
Amador,38.44583082,-120.65696
Sacramento,38.45106826,-121.3425374
Napa,38.50735751,-122.332839
Sonoma,38.52746429,-122.8862506
Alpine,38.59678594,-119.8223594
Yolo,38.68278902,-121.9018288
El Dorado,38.77965956,-120.5233166
